tipo,arquivo,classe,confianca,x1,y1,x2,y2,frame
imagem,Amazilia lactea_455_0.jpg,Amazilia lactea,0.8441166877746582,40,40,277,181,
imagem,Amazilia_lactea_130_0.jpg,Amazilia lactea,0.8485275506973267,82,90,548,333,
imagem,Amazilia_lactea_158_0.jpg,Amazilia lactea,0.7085967063903809,86,90,550,425,
imagem,Amazilia_lactea_222_0.jpg,Chlorostilbon lucidus,0.9234318137168884,90,87,424,549,
imagem,Amazilia_lactea_228_0.jpg,Amazilia lactea,0.972080409526825,89,92,551,521,
imagem,Amazilia_lactea_247_0.jpg,Amazilia lactea,0.6637572646141052,91,88,261,548,
imagem,Amazilia_lactea_268_0.jpg,Amazilia lactea,0.7012203931808472,95,92,304,553,
imagem,Amazilia_lactea_285_0.jpg,Amazilia lactea,0.9794862270355225,94,88,552,549,
imagem,Amazilia_lactea_43_0.jpg,Amazilia lactea,0.9741831421852112,93,87,430,552,
imagem,Amazilia_lactea_48_0.jpg,Amazilia lactea,0.9867232441902161,94,88,359,547,
imagem,Amazilia_lactea_94_0.jpg,Amazilia lactea,0.9867584109306335,91,88,300,555,
imagem,American Kestrel Falco sparverius_256_0.jpg,Falco sparverius,0.8822784423828125,91,89,552,444,
imagem,American Kestrel Falco sparverius_616_0.jpg,Falco sparverius,0.9241307973861694,59,57,264,350,
imagem,American_Kestrel_Falco_sparverius_132_0.jpg,Falco sparverius,0.9727376103401184,44,46,249,282,
imagem,American_Kestrel_Falco_sparverius_135_0.jpg,Falco sparverius,0.9708762764930725,94,90,342,552,
imagem,American_Kestrel_Falco_sparverius_139_0.jpg,Falco sparverius,0.976088285446167,91,90,387,549,
imagem,American_Kestrel_Falco_sparverius_216_0.jpg,Falco sparverius,0.9638574123382568,20,21,127,102,
imagem,American_Kestrel_Falco_sparverius_265_0.jpg,Falco sparverius,0.955427885055542,96,90,544,422,
imagem,American_Kestrel_Falco_sparverius_294_0.jpg,Falco sparverius,0.9831122756004333,57,55,265,341,
imagem,American_Kestrel_Falco_sparverius_74_0.jpg,Falco sparverius,0.8141371011734009,76,73,459,347,
imagem,Aratinga cactorum_179_0.jpg,Aratinga cactorum,0.986746609210968,57,57,209,345,
